name,url
Bill Gates,",,,,https://en.wikipedia.org/wiki/Bill_Gates,https://twitter.com/BillGates,https://www.biography.com/business-figure/bill-gates,https://www.biographyonline.net/business/bill-gates.html,https://www.facebook.com › Pages › Public Figure,https://www.forbes.com/profile/bill-gates/,https://www.gatesnotes.com/,https://www.youtube.com/channel/UCnEiGCE13SUI7ZvojTAVBKw"
Bill Gates,",,,,https://en.wikipedia.org/wiki/Bill_Gates,https://twitter.com/BillGates,https://www.biographyonline.net/business/bill-gates.html,https://www.facebook.com › Pages › Public Figure,https://www.forbes.com/.../bill-gates-admits-that-his-biggest-mistake-was-letting-andro...,https://www.forbes.com/profile/bill-gates/,https://www.gatesnotes.com/,https://www.youtube.com/channel/UCnEiGCE13SUI7ZvojTAVBKw"
