name,url
Sundar pichai,"https://en.wikipedia.org/wiki/Sundar_Pichai,https://telecom.economictimes.indiatimes.com › Latest Telecom News,https://twitter.com/sundarpichai,https://www.britannica.com/biography/Sundar-Pichai,https://www.businesstoday.in/current/corporate/sundar-pichai.../289327.html,https://www.crunchbase.com/person/sundar-pichai,https://www.financialexpress.com › INDUSTRY,https://www.instagram.com/sundarpichai/?hl=en"
Sundar pichai,"https://en.wikipedia.org/wiki/Sundar_Pichai,https://twitter.com/sundarpichai,https://www.britannica.com/biography/Sundar-Pichai,https://www.businesstoday.in/technology/news/...sundar-pichai.../368835.html,https://www.cnbc.com/sundar-pichai/,https://www.crunchbase.com/person/sundar-pichai,https://www.instagram.com/sundarpichai/?hl=en,https://www.news18.com/.../is-google-looking-for-a-replacement-for-ceo-sundar-pich..."
