name,url
Sachin Tendulkar,",,,,https://en.wikipedia.org/wiki/Sachin_Tendulkar,https://sports.ndtv.com › Cricket › News,https://sports.ndtv.com › Cricket › Players,https://twitter.com/sachin_rt,https://www.cricbuzz.com/profiles/25/sachin-tendulkar,https://www.facebook.com › Pages › Public Figure › Athlete,www.espncricinfo.com/india/content/player/35320.html"
Sachin Tendulkar,",,,,https://en.wikipedia.org/wiki/Sachin_Tendulkar,https://sports.ndtv.com › Cricket › Players,https://twitter.com/sachin_rt,https://www.cricbuzz.com/profiles/25/sachin-tendulkar,https://www.facebook.com › Pages › Public Figure › Athlete,https://www.sportskeeda.com/player/sachin-tendulkar,www.espncricinfo.com/india/content/player/35320.html"
